name,shape_id,lat,lon,admin1,admin2
Alvor,12082587B64500462723105,-8.584844266810443,37.14015911491461,Portugal,Faro
Alvorge,12082587B5160407791408,-8.453470875660729,39.98643779169398,Portugal,Leiria
Alvorninha,12082587B24853600395328,-9.02949371782678,39.393472509475345,Portugal,Leiria
Amareleja,12082587B55310761137924,-7.2284581745699,38.201865020416044,Portugal,Évora
Ameixial,12082587B12500155907094,-7.9517511001820855,37.35355914510066,Portugal,Faro
Ammndoa,12082587B91521491111352,-8.03004716752695,39.64748060184908,Portugal,Santarém
Amendoeira,12082587B15854935632577,-6.9875806384620525,41.56691582629381,Portugal,Bragança
Amiais De Baixo,12082587B64357407313221,-8.733501350399134,39.44714073704783,Portugal,Santarém
Amonde,12082587B45737896141642,-8.761196848806222,41.784427592217135,Portugal,Viana do Castelo
Amor,12082587B77066973072261,-8.871893095064943,39.796003007920724,Portugal,Leiria
Amora,12082587B50084561267710,-9.128426745164708,38.61478621818518,Portugal,Setúbal
Amoreira,12082587B75079039793771,-9.243973648678686,39.36429832101045,Portugal,Leiria
Anais,12082587B91323032445749,-8.529191136926679,41.699037924202536,Portugal,Viana do Castelo
Anm3,12082587B41862466041078,-8.52598724842348,40.26819177169697,Portugal,Coimbra
Ancora,12082587B11639896372130,-8.853938246092511,41.79712478161456,Portugal,Viana do Castelo
Andr,12082587B79286271402818,-7.676386127410514,41.25464625080772,Portugal,Vila Real
Anelhe,12082587B55574982762502,-7.583746550838508,41.68580083196431,Portugal,Vila Real
Angeja,12082587B39778027123287,-8.573997078518433,40.68990149829613,Portugal,Aveiro
Anha,12082587B26376369428936,-8.80381544546769,41.6635293546164,Portugal,Viana do Castelo
Anobra,12082587B97465901529413,-8.521339056773025,40.15350080528155,Portugal,Coimbra
Ansi,12082587B16449445063244,-7.931063161242352,41.25585578155076,Portugal,Vila Real
Ansi,12082587B44298491457300,-8.42598117382794,39.93650137528918,Portugal,Leiria
Antas,12082587B62664905894518,-8.770682058358398,41.59992217289911,Portugal,Braga
Aradas,12082587B47347196085913,-8.637862883555828,40.60859373700801,Portugal,Aveiro
Aranhas,12082587B46756549817444,-7.125481807560903,40.11286133471409,Portugal,Castelo Branco
